wallet,degree_pools,w_swaps,w_tx,w_volume_usd,hhi_vol,hhi_cnt,entropy_vol,entropy_cnt,top_pool_share,persistence_vw,persistence_mean,share_pools_revisited,max_edge_tenure_days,wallet_pool_months,entropy_norm_vol,entropy_norm_cnt,eff_pools_exp_H,eff_pools_inv_HHI,specialization,specialization_cnt,n_tx,arb_tx_rate,n_arb_tx,split_route_rate,multihop_rate,max_legs_one_tx,n_active_blocks,n_sandwich_slots,max_tx_same_pool_block,tx_per_active_block,mev_wallet,mev_strict,mev_base,mev_loose
0xf8f9914b79f841864d893a3a6e3385b1b9223dd7,9,13,13,2607.387094487788,0.14677179,0.13609467,2.0265074,2.0981476,0.24115396,0.82774717,0.9206349,0.1111111111111111,200,10,0.9223032540812579,0.9549081383547939,7.5875397,6.813298,0.0776967459187421,0.045091861645206066,10,0.0,0,0.3,0.0,2,10,0,0,1.0,false,false,false,false
0xbe18544455609b594e37be2116a720f3929f5303,1,1,1,8.150266,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0x54ff99fb654a5069b02d506f57ab6ce8f042c5ef,2,2,2,324.03128799999996,0.7533368,0.5,0.41232806,0.69314724,0.855905,1.0,1.0,0.0,0,2,0.594863653789358,1.0000000887391607,1.5103298,1.3274275,0.405136346210642,-8.873916068630194e-8,2,0.0,0,0.0,0.0,1,2,0,0,1.0,false,false,false,false
0x746a68d7827c46f2696eb6b3f7551f298d525ae7,1,1,1,9.99,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0x7d8d48b9ada8bec37e0fa1711427dcf75778fb7a,1,1,1,8.210920147188249,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0xd2403a09c36286792cd657dcc0d09613a43ded75,1,1,1,500.0,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0xe420fdbd2119c164332b82dc0410ebea5288f273,1,1,1,51.342264400000005,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0x6110e23134ba66a8b519bb5f1d06e82285f2ef2e,2,9,9,5059.616604671134,0.73098385,0.80246913,0.43993348,0.34883213,0.839841,0.7900398,0.875,0.5,95,4,0.6346898482323095,0.5032583846771644,1.552604,1.3680192,0.36531015176769055,0.49674161532283556,9,0.0,0,0.0,0.0,1,9,0,0,1.0,false,false,false,false
0x902de0aa9ed8503cbf67c39f185a763d5eb43f03,3,4,4,86.8037426360418,0.94304115,0.375,0.15017346,1.0397209,0.97085834,1.0,1.0,0.0,0,3,0.1366937699730466,0.9463947414666942,1.1620358,1.0603992,0.8633062300269534,0.05360525853330578,4,0.0,0,0.0,0.0,1,4,0,0,1.0,false,false,false,false
0x1b1acc07d5aa48cbe24a74fda6f23a1ae702b3ba,2,3,3,519.830618,0.68470335,0.5555556,0.4949563,0.6365142,0.8038942,1.0,1.0,0.0,3,2,0.7140710204778017,0.9182958608371391,1.6404265,1.4604865,0.2859289795221983,0.0817041391628609,3,0.0,0,0.0,0.0,1,3,0,0,1.0,false,false,false,false
0xb7daa3a84826a7d5a2cc216cb6544958885aa9b5,1,1,1,18.889388,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0x2d33dc992fde09e3ee929ae4adda32bf591fb2a9,3,6,6,536.8449105699295,0.4394127,0.3888889,0.94660896,1.0114044,0.59417737,0.51710314,0.5833333,0.6666666666666666,192,5,0.8616406082405288,0.9206199544059527,2.5769563,2.275765,0.1383593917594712,0.07938004559404732,6,0.0,0,0.0,0.0,1,6,0,0,1.0,false,false,false,false
0xa5aa511c9128d4cabecd7a262c1b9f4d97033b1b,2,3,3,23.153370421781403,0.8564069,0.5555556,0.27350754,0.6365142,0.92214155,1.0,1.0,0.5,27,3,0.39458796505045785,0.9182958608371391,1.3145672,1.1676692,0.6054120349495422,0.0817041391628609,2,0.0,0,0.5,0.0,2,2,0,0,1.0,false,false,false,false
0x38140170064ad44ba56f8747fa6b9172811a1865,1,1,1,10029.918527,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0x3c3d5bd84467db8654c54f62549213c9371d7a7f,42,146,146,21681.28169175211,0.2339456,0.200319,2.0739188,2.5689955,0.4408472,0.80766636,0.9233715,0.23809523809523808,435,77,0.5548694858642955,0.6873254562689057,7.95594,4.274498,0.4451305141357045,0.31267454373109427,113,0.0,0,0.26548672566371684,0.02654867256637168,3,113,0,0,1.0,false,false,false,false
0x4f9217a048b748b6f79b87942b92ecca7c317d82,6,9,9,702.3767976970786,0.3291744,0.1851852,1.3616269,1.7351266,0.47876263,1.0,1.0,0.0,2,6,0.7599384219056171,0.968392602003752,3.902537,3.0379033,0.2400615780943829,0.03160739799624801,8,0.0,0,0.125,0.0,2,8,0,0,1.0,false,false,false,false
0x60aff5ba84811cb46af104161095952b3102e040,2,2,2,132.7409830871541,0.5000001,0.5,0.6931472,0.69314724,0.5002238,1.0,1.0,0.0,0,2,1.0000000027478353,1.0000000887391607,2.0,1.9999995,-2.747835292638001e-9,-8.873916068630194e-8,1,0.0,0,1.0,0.0,2,1,0,0,1.0,false,false,false,false
0x76ac15e4e706982fead4cdbd429ed25c7b0c1a18,2,2,2,2.0537590000000003,0.57384837,0.5,0.61736417,0.69314724,0.6921567,1.0,1.0,0.0,0,2,0.8906682238372358,1.0000000887391607,1.8540347,1.7426206,0.10933177616276424,-8.873916068630194e-8,2,0.0,0,0.0,0.0,1,2,0,0,1.0,false,false,false,false
0xe70059650797b9e6d463ae6bf53156b1f7cd62c2,2,2,2,205.31170290764607,0.5,0.5,0.6931472,0.69314724,0.50010085,1.0,1.0,0.0,0,2,1.0000000027478353,1.0000000887391607,2.0,2.0,-2.747835292638001e-9,-8.873916068630194e-8,1,0.0,0,1.0,0.0,2,1,0,0,1.0,false,false,false,false
0x1e82535870501e3b5e0ed246fffcd72a0a3dafc9,1,1,1,14.363191760326893,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0xf61212224e4508f47b45ca222c17a7356cbc4b5f,9,45,45,36196.173436983976,0.6188675,0.35308644,0.8641008,1.421501,0.77690524,0.940144,0.9074074,0.4444444444444444,225,22,0.39326922827035027,0.6469530038581763,2.3728714,1.6158547,0.6067307717296497,0.35304699614182367,41,0.0,0,0.0975609756097561,0.0,2,41,0,0,1.0,false,false,false,false
0xbf1af32ccfe53e6305c015a047539d066e842dba,1,1,1,26.835669,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0xefd76082dac7031fc801c0fb58860e15ae7d04d7,1,1,1,63.022972,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0,0.0,0.0,1,1,0,0,1.0,false,false,false,false
0x12f3af456495bc4602b9206e009037dd742eaeab,152,631,631,580694.0618780274,0.12574211,0.08205977,2.618156,3.6488485,0.2678342,0.8896195,0.9704944,0.21710526315789475,337,196,0.5211421620009546,0.7263008183593744,13.710418,7.9527855,0.47885783799904535,0.27369918164062557,496,0.056451612903225805,28,0.17338709677419356,0.038306451612903226,4,496,0,0,1.0,true,false,true,true
0xa6a65f6689af4323ee51a7fc24a0350a0687b385,1,2,2,1487.4367421750344,1.0,1.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,1.0,2,0.0,0,0.0,0.0,1,2,0,0,1.0,false,false,false,false
