pool,degree_wallets,p_swaps,p_volume_usd,hhi_wallets_vol,hhi_wallets_cnt,entropy_wallets,top_wallet_share,arb_leg_share,top10_wallet_share,avg_wallet_persistence,repeat_wallet_share,mev_wallet_share,mev_volume_share,mev_volume_share_strict,mev_swap_share,entropy_norm_wallets,eff_wallets_inv_HHI,mev_exposure_index
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,580764,3281328,82033790057.50037,0.025377530468704695,0.004607691781455423,6.191801241105644,0.13971057107585524,0.05160502061031803,0.2961949930582109,0.9387884655896706,0.189545150870233,0.034852366882244766,0.46892982625062185,0.3730487667210055,0.4351259611961986,0.46652762972136497,39.40493742025803,0.8004927805920259
0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,1108806,7514040,43630688160.046364,0.13002338782541034,0.003505563877528568,5.258228780260575,0.3553316090752457,0.06048956355447912,0.48764165373956836,0.935094271106335,0.20399240263851387,0.020500430192477312,0.7059225657129008,0.6426872182162867,0.4732092190086824,0.37777904176741567,7.690924046239711,0.8286812088631587
0xe0554a476a092703abdb3ef35c80e0d76d32939f,1140357,7076947,30850150622.214874,0.15735815725684607,0.004019275550796469,5.0426498678649505,0.3929147995746076,0.06342395976361836,0.5156974426755486,0.9285702393955191,0.21012016412404186,0.01956492572062959,0.7313520610783718,0.6772537209762705,0.4911439918936796,0.3615618702663833,6.354929527852574,0.8318170853578689
0x11b815efb8f581194ae79006d24e0d814b7697f6,322019,2147542,25067150937.194958,0.018400660977254152,0.00896017856485376,6.261206328734625,0.10104511929332974,0.05032404476568519,0.2844946696404864,0.9491245800650828,0.16375431263372658,0.05661156639825601,0.4826085719145056,0.3863549650455276,0.48780745615219634,0.49369387487774713,54.34587383769219,0.8052138254247216
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,80907,529297,19275135298.331104,0.04783277262930474,0.009596482167724673,5.4387221717211345,0.2082873489278795,0.033227091874673306,0.3409918257028341,0.9579181208900296,0.1571433868515703,0.10953316771107569,0.42505617662615164,0.31901803889176134,0.47926022630016796,0.4812578887999163,20.906168407794745,0.7946776250043075
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,141661,1036624,17648614522.65161,0.017975800701154527,0.00811237535218282,6.054414210401873,0.10893304601904828,0.07917817890461956,0.26609739537812876,0.9533294739464361,0.14810004164872478,0.10172171592746063,0.46747363569067096,0.3535613414472348,0.5333515334393184,0.510438928020787,55.630345297262515,0.816439229470347
0x3416cf6c708da44db2624d63ea0aaef7113527c6,234859,785449,15292687509.914051,0.012242789104336967,0.0009996079546311246,7.155628389040012,0.08299761622815187,0.04318676336112827,0.2621699558815348,0.9621212728180477,0.14698180610493955,0.050707019956654845,0.5147511404972804,0.3406580825153864,0.4012329253713481,0.578618781854822,81.68073397962506,0.8054981219201213
0x56534741cd8b152df6d48adf7ac51f75169a83b2,89769,892277,13229117916.741375,0.02810025139535345,0.018383275465522337,6.135128636136907,0.15735582919846208,0.033666675223425674,0.2645794141037049,0.9464802044480523,0.17239804386815047,0.14276643384687365,0.5156315055196484,0.3881501661774114,0.50895181653231,0.5379334796045706,35.586870235807076,0.8154571143044212
0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,18537,171089,12436570734.561548,0.02365769768878379,0.01998542820805109,5.53087504337315,0.13313276354616793,0.019872697916702143,0.2640425095631855,0.9407547192549882,0.1951232669795544,0.299724874575174,0.424777673475893,0.27485457787737794,0.4192496303093711,0.562794355490406,42.2695400522471,0.7845721768496503
0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,52545,243654,8752063164.814648,0.008938471934463798,0.004972735506732679,6.225600606327796,0.036828820911066984,0.1319576126011826,0.2538748075896686,0.9560987648252744,0.1349129317727662,0.08154914834903416,0.5753017911149024,0.3694578904236903,0.596969473105305,0.5727626326008332,111.87594561261976,0.8410696440263274
