tx_hash,block_number,log_index,block_time,wallet,sender,recipient,project,pool_address,token_in,token_out,amount_in_float,amount_out_float,amount_in_raw,amount_out_raw,amount_usd,tick,sqrt_price_x96,liquidity,weth_price_at_block,amount_overflow,malformed_legs
0x1843413196842e7055343340d1fd072f3bff59a202a90aea103c6fb04b92f3b4,21525891,434,2025-01-01 00:00:11.000000,0xaa31969dbdbaa86007921e1ba81e440a2bdf3af8,0xfbeedcfe378866dab6abbafd8b2986f5c1768737,0xfbeedcfe378866dab6abbafd8b2986f5c1768737,Uniswap V3,0x95a45a87dd4d3a1803039072f37e075f37b23d75,0x44ff8620b8ca30902395a7bd3f2407e1a091bf73,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2303.7016213564348,2.7100391085822837,2303701621356434800000,2710039108582283543,9046.083444056576,-67364,2.73010765532175e+27,108819939739088081315156,3337.99,false,false
0xd91a8ddc2a83b352950a385ffa76fe3ce493220928fe2410c2d0cddfcd0e204b,21525891,437,2025-01-01 00:00:11.000000,0xee28beaa11e31d10581ee7cfdcb9e95c8d05c53c,0xfbeedcfe378866dab6abbafd8b2986f5c1768737,0xfbeedcfe378866dab6abbafd8b2986f5c1768737,Uniswap V3,0x16588709ca8f7b84829b43cc1c5cb7e84a321b16,0xb23d80f5fefcddaa212212f028021b41ded428cf,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,183.35150538222507,0.6904398783018311,183351505382225100000,690439878301831032,2304.681409372729,-55794,4.8686380842625054e+27,53964532071665349841981,3337.99,false,false
0x7adbbe0bc06173c51a97bcfe3d9161f37700e77d58d926afb2860eb0301f8338,21525892,7,2025-01-01 00:00:23.000000,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0xaba18bf37fd8d00d0ce8458369ca82bf52332a2b,Uniswap V3,0x11950d141ecb863f01007add7d1a342041227b58,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6982508145454ce325ddbe47a25d4ec3d2311933,0.08468396036954522,14115084.377878752,84683960369545216,14115084377878751150497653,282.67421287393825,-189355,6.127672985868756e+24,24753159273248129114069003,3337.99,false,false
0x7adbbe0bc06173c51a97bcfe3d9161f37700e77d58d926afb2860eb0301f8338,21525892,14,2025-01-01 00:00:23.000000,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,Uniswap V3,0xfe4ec8f377be9e1e95a49d4e0d20f52d07b1ff0d,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,774.0228260162002,0.08766067335338394,774022826016200260255,87660673353383937,292.61045104686207,-90834,8.444018978774492e+26,214641392587639390120174,3337.99,false,false
0x7adbbe0bc06173c51a97bcfe3d9161f37700e77d58d926afb2860eb0301f8338,21525892,17,2025-01-01 00:00:23.000000,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,Uniswap V3,0xcf0107c326d965825467eb6e18bd6358e14517c8,0xdac17f958d2ee523a2206206994597c13d831ec7,0x817bbdbc3e8a1204f3691d14bb44992841e3db35,752.464145,68004.17523857632,752464145,68004175238576325817975,752.464145,-321101,8.445296724368575e+21,194578496158255835,3337.99,false,false
0x64f53afb298f3d33e6c2a72dce40fda9ca25897bb7e0c1c4c3b53f5b1fb33bc6,21525892,32,2025-01-01 00:00:23.000000,0x42c0d180edcd556443c8c845b7f466121d18b2fb,0x70bf6634ee8cb27d04478f184b9b8bb13e5f4710,0x70bf6634ee8cb27d04478f184b9b8bb13e5f4710,Uniswap V3,0xcf0107c326d965825467eb6e18bd6358e14517c8,0xdac17f958d2ee523a2206206994597c13d831ec7,0x817bbdbc3e8a1204f3691d14bb44992841e3db35,333.543556,28606.014362567366,333543556,28606014362567366663602,333.543556,-320785,8.579750341347975e+21,194578496158255835,3337.99,false,false
0x9bf06ddc38fdc12b96fd98a16ef3762696cd35aebee6ceebbf9fc832e1622489,21525892,54,2025-01-01 00:00:23.000000,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,Uniswap V3,0xdd0d92d479794180869569e6e341b379b7bcedb7,0x181d606e5fa001b81f37215b85548b155fe70fea,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,13177934.176119732,0.037286966047277055,131779341761197306,37286966047277057,124.46351979615032,-12624,4.214705650415423e+28,7045567103666067237,3337.99,false,false
0x9bf06ddc38fdc12b96fd98a16ef3762696cd35aebee6ceebbf9fc832e1622489,21525892,57,2025-01-01 00:00:23.000000,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,Uniswap V3,0xcf0107c326d965825467eb6e18bd6358e14517c8,0x817bbdbc3e8a1204f3691d14bb44992841e3db35,0xdac17f958d2ee523a2206206994597c13d831ec7,68004.17412954847,761.002022,68004174129548458713097,761002022,761.002022,-321521,8.269886748694539e+21,194578496158255835,3337.99,false,false
0x1195ff6486ad80a651b24ca2b87bbe911c5a492ae373f99a2d2aea83c7777aba,21525892,65,2025-01-01 00:00:23.000000,0xc184a59a2fdae7058a19633c758d54a28a27bbfa,0xe592427a0aece92de3edee1f18e0157c05861564,0x23e182724f1b00a3c5a2c76502096625b5fe87cd,Uniswap V3,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,124.341398,0.03712337166304422,124341398,37123371663044218,124.341398,-195185,4.578375681088036e+24,4662359228931794941,3337.99,false,false
0x1195ff6486ad80a651b24ca2b87bbe911c5a492ae373f99a2d2aea83c7777aba,21525892,66,2025-01-01 00:00:23.000000,0xc184a59a2fdae7058a19633c758d54a28a27bbfa,0xe592427a0aece92de3edee1f18e0157c05861564,0xc184a59a2fdae7058a19633c758d54a28a27bbfa,Uniswap V3,0x23e182724f1b00a3c5a2c76502096625b5fe87cd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x2a92525fda8d3ab481f8e2a913b64b64bd1c9fdd,0.03712337166304422,43.32000000000001,37123371663044218,43320000000000008192,123.91744337752496,-70644,2.3171574275571467e+27,1104722965244904211883,3337.99,false,false
