wallet,pool,n_swaps,n_tx,volume_usd,active_months,active_days,arb_leg_share,span_months,tenure_days,edge_persistence,edge_returned,pw_vol,pw_cnt,avg_trade_usd
0x9cc3c35bd373342956bc15aa85230ae363736d29,0x43e7ade137b86798654d8e78c36d5a556a647224,20,20,35128.18711880679,9,18,0.0,11,288,0.8181818,true,0.8829353,0.8,1756.4093
0xe515133f948e944d856cf7e3fe367c085c49dbf7,0x3ebec0a1b4055c8d1180fce64db2a8c068170880,3,3,779.1643793033468,2,3,0.0,2,18,1.0,true,0.98583156,0.75,259.72147
0x72ea4c2b11ae9f51de8556d875f35ae098c375c6,0x8cd6c8c449918d92d2ad4658c32f2e2ff1e7096d,1,1,373.7928457146363,1,1,0.0,1,0,1.0,false,1.0,1.0,373.79285
0xecf3ae53f5d38645860e4a5d6ccd68f1386bbf5e,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,1,1,673.15962,1,1,0.0,1,0,1.0,false,0.49995664,0.5,673.1596
0x381b7d64303a2a5251ac12ee147ffdb337da5969,0xb011e4eb4111ef00b620a5ed195836dcd69db1ff,127,127,117204.81462486753,3,54,0.0,3,68,1.0,true,0.009410525,0.023015585,922.87256
0xa42b3456b4b234dd6a0069991476cb3023c9b04e,0xe0554a476a092703abdb3ef35c80e0d76d32939f,1,1,1.511537,1,1,0.0,1,0,1.0,false,1.0,1.0,1.511537
0x2cbbfd8b0046abb00b8843aec097717923f536a5,0xe0554a476a092703abdb3ef35c80e0d76d32939f,3,3,210.02140799999998,2,2,0.0,2,26,1.0,true,0.3977104,0.42857143,70.00713
0x55aeb56136091e9dce99c91f4e2592fdb7c07ef2,0x87e844622745ce31b9fbd850b47113b20a15dc41,67,67,8581.537910000003,5,26,0.0,5,99,1.0,true,0.00077436795,0.005263985,128.08266
0x49e37ea35ec63493d77e459b9c852b0aa6243f09,0xf99a791b2b4b1adbd1a97f2175d8cec524c9c88e,3,3,1896.1119104477611,2,3,0.0,2,17,1.0,true,0.15990883,0.069767445,632.0373
0x6a1c1ac90df992978cd2f0ad185d579576903fa5,0xe0554a476a092703abdb3ef35c80e0d76d32939f,1,1,6.400009,1,1,0.0,1,0,1.0,false,0.004120186,0.1,6.400009
0x6a1c1ac90df992978cd2f0ad185d579576903fa5,0xc4dbe30fecc148a8755c970f3b8b0c9af0db81f5,3,3,529.861401,1,2,0.0,1,4,1.0,false,0.34111318,0.3,176.62047
0xf751e5f2b317d2597cdd16e38ff3839392a4f38f,0x9e0905249ceefffb9605e034b534544684a58be6,13,13,3010.491126400236,5,12,0.0,5,126,1.0,true,0.35277182,0.2888889,231.57623
0xbdd9f48df51203cd4e21dd5fcc66e9be60bbdcd2,0xe35bfbf439d7c37e2df41bf1236ccf1dec0543fd,2,2,27.635774,2,2,0.0,2,2,1.0,true,0.42661664,0.4,13.817887
0xe096e1e5a1045bc4e548a76bd3958019722a251c,0x464bd7e6718a815c20a5ad529003d7a93a9676b3,1,1,1.3073160000000001,1,1,0.0,1,0,1.0,false,0.016749155,0.055555556,1.307316
0xde9a8fb2723338d54b17b05250f88b831d3e1e73,0xe35bfbf439d7c37e2df41bf1236ccf1dec0543fd,1,1,2141.094583,1,1,0.0,1,0,1.0,false,0.19159392,0.25,2141.0945
