pool_address,block_number,log_index,sqrt_price_x96,tick,amount0_f64,amount1_f64,transaction_hash,tx_from,sender,recipient,liquidity_f64,pre_sqrt_price_x96,pre_tick,pre_liquidity,price_pre,price_post,price_exec,price_impact
0x0002e63328169d7feea121f1e32e4f620abf0352,21906146,128,2.5575690929985717e+25,-160777,-4.1966946971618976e+17,43490349021.0,0x9b8369498373e0d57079aad2d48bf9282f51c377c84ff6914a22e18aae76e601,0xda62f829497dda865c4380b74ddd8a818d2b4bb1,0x8857d39a74e941de98c64c5ea4ecaa35484ad907,0x8857d39a74e941de98c64c5ea4ecaa35484ad907,1.5770036641733558e+16,2.53578522821317e+25,-160949,1.5770036641733558e+16,1.0243910318315093e-7,1.0420668552472632e-7,1.0363000446616061e-7,0.011625455963631959
0x0002e63328169d7feea121f1e32e4f620abf0352,21935203,138,2.524586831766843e+25,-161037,6.401472251927698e+17,-65649820928.0,0x77b3062cab83ac77d172fb61f49bb1058cf6e9d38f8fae140222299bb0a9b8e1,0xfc9928f6590d853752824b0b403a6ae36785e535,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,1.5770036641733558e+16,2.5575690929985717e+25,-160777,1.5770036641733558e+16,1.0420668552472632e-7,1.0153632902267951e-7,1.0255425368473734e-7,0.015857253607753252
0x0002e63328169d7feea121f1e32e4f620abf0352,21968824,78,2.4622296868222238e+25,-161537,1.257142401010673e+18,-124119306752.0,0x3c15b7b69cf461fd74dd5ca07bb00a1a6a5b02dfbf77ce5e4ffbe90a9a884779,0xe75ed6f453c602bd696ce27af11565edc9b46b0d,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0x9cd028b1287803250b1e226f0180eb725428d069,1.5770036641733558e+16,2.524586831766843e+25,-161037,1.5770036641733558e+16,1.0153632902267951e-7,9.658239241991831e-8,9.873130255746282e-8,0.027625840841558835
0x0002e63328169d7feea121f1e32e4f620abf0352,21975220,36,2.416678715678613e+25,-161911,9.745759193860422e+17,-92088117939.0,0xa3b7ddd00c0f899a061306b84eac8a174bc6cce97101dcc928cd1239b258ab38,0x30a1b724c9dfe2e12a19ed84878312d199d1519e,0xe6b1de575e7e610889ea21024834e120f92033a3,0xe6b1de575e7e610889ea21024834e120f92033a3,1.6799971374041324e+16,2.4622296868222238e+25,-161537,1.5770036641733558e+16,9.658239241991831e-8,9.304192063495776e-8,9.449045077679854e-8,0.021659658564104345
0x0002e63328169d7feea121f1e32e4f620abf0352,21978696,98,2.4521697268071857e+25,-161619,-7.634767709711892e+17,72281028498.0,0xe18d75c67b5599ea2950926ff8bbb4925152edcc51fd1759b04def8d259100c9,0xe75ed6f453c602bd696ce27af11565edc9b46b0d,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0xc02d0fa00c0bec48186026c71da2e54ebf680139,1.5770036641733558e+16,2.416678715678613e+25,-161911,1.6799971374041324e+16,9.304192063495776e-8,9.579478910101189e-8,9.467351365000155e-8,0.017536106347645353
0x0002e63328169d7feea121f1e32e4f620abf0352,21983514,133,2.426756350155895e+25,-161828,5.36367192649578e+17,-50695020032.0,0x410734e8d261b802c200621fd96d296172c67b8927e4ca7e9197cfe86ee36b87,0x0bde59981fdeac219ce9e618d27f193438bff786,0x81463b0f960f247f704377661ec81c1fd65b5128,0x9cd028b1287803250b1e226f0180eb725428d069,1.6799971374041324e+16,2.4521697268071857e+25,-161619,1.5770036641733558e+16,9.579478910101189e-8,9.381951466267226e-8,9.451551237049712e-8,0.013354345706276582
0x0002e63328169d7feea121f1e32e4f620abf0352,21987374,119,2.4523050051036067e+25,-161618,-5.3756879694095974e+17,51117638781.0,0x13c4bb9b187894c2dd2f8359a9d055ffa2baaa8cbebd9386708400cb9fc63caf,0xe75ed6f453c602bd696ce27af11565edc9b46b0d,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0xc02d0fa00c0bec48186026c71da2e54ebf680139,1.5770036641733558e+16,2.426756350155895e+25,-161828,1.6799971374041324e+16,9.381951466267226e-8,9.580535877176985e-8,9.509041274695518e-8,0.013546201862719487
0x0002e63328169d7feea121f1e32e4f620abf0352,22003691,221,2.4728902516351753e+25,-161451,-4.24120272358998e+17,41097370240.0,0xbf28ff0b5de228db09654a86838efd4bb3baca25cfaccbab5a8e6885367209fb,0xfc9928f6590d853752824b0b403a6ae36785e535,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0xc02d0fa00c0bec48186026c71da2e54ebf680139,1.5770036641733558e+16,2.4523050051036067e+25,-161618,1.5770036641733558e+16,9.580535877176985e-8,9.742053664923712e-8,9.690027314990733e-8,0.011428529595571169
0x0002e63328169d7feea121f1e32e4f620abf0352,22019731,561,2.4457683008340293e+25,-161671,5.619761662286109e+17,-53985116448.0,0xd3afee1572b261dac57903fb765b59a5310d48728a8973451dea5ff82054aa39,0x1a642f386a5179c81070f12bcf236a44b75c1919,0x4b08528d3c0bc46fab2701acef64cd53d6b3f9cd,0x9cd028b1287803250b1e226f0180eb725428d069,1.5770036641733558e+16,2.4728902516351753e+25,-161451,1.5770036641733558e+16,9.742053664923712e-8,9.529529444524905e-8,9.606299998501885e-8,0.013934809958048966
0x0002e63328169d7feea121f1e32e4f620abf0352,22020031,283,2.3907432002857546e+25,-162127,1.2313021343695063e+18,-114317493248.0,0xaa93bc20b21ff9c703459954c607925bbc602c7d706a16a26af5b63fb32b295c,0xe75ed6f453c602bd696ce27af11565edc9b46b0d,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,1.6799971374041324e+16,2.4457683008340293e+25,-161671,1.5770036641733558e+16,9.529529444524905e-8,9.10556064033663e-8,9.284276381648341e-8,0.025736114705797064
