trader_address,first_trade_ts,last_trade_ts,first_block,last_block,n_swaps,n_transactions,active_days,n_active_blocks,total_volume_usd,n_swaps_priced,avg_trade_size_usd,median_trade_size_usd,std_trade_size_usd,min_trade_size_usd,max_trade_size_usd,p90_trade_size_usd,n_pools,n_fee_tiers,n_tokens_in,n_tokens_out,tenure_days,trades_per_active_day,swaps_per_tx,size_cv,activity_ratio,pool_swap_ratio,usd_coverage,is_multi_pool,is_one_shot_trader,cohort_month,log_n_swaps,log_total_volume,log_avg_size,log_n_pools,log_tenure,hhi_volume,hhi_count,top_pool_vol_share,n_cyclic_tx,max_legs_in_tx,n_victim_trades,n_attacker_trades,n_arbitrage_trades,mev_loss_usd,victim_rate,arb_share,cyclic_share,mev_loss_per_dollar,is_mev_bot,trader_type,in_analysis_sample,n_routers,router_hhi,top_router,top_router_share,mean_price_impact,med_price_impact,p90_price_impact,n_swaps_with_pi,total_gas_usd,med_gas_usd,med_priority_gwei,gas_cost_ratio
0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,2025-01-01 00:00:23.000000,2026-06-30 14:50:11.000000,21525892,25431197,1854116,1136440,545,828203,36255068491.842926,1853899,19556.11847886154,229.41884633110763,110344.29904347465,5.876540000000001e-15,10062171.624652,22125.151311,6460,4,4835,4834,545.6179166666666,3402.0477064220186,1.6315124423638732,5.642443778541597,0.997040132389855,0.0034841401508859207,0.9998829630940027,true,false,2025-01-01 00:00:00.000000,14.432919129912904,24.31384502896534,9.88109461570497,8.773539383558166,6.303750051344376,0.2989143358227927,0.04644064075260127,0.42761917916270703,123324,74,9,649081,0,0.0,4.854065225692459e-6,0.0,0.10851782760198515,0.0,true,mev_bot,true,2,0.999788600841919,0x1f2f10d1c40777ae1da742455c65828ff36df387,0.999894289246196,0.011737740485650945,0.0032325369173666907,0.02022257556355278,1851184,23951710.602291416,0.7977289463864055,0.047682912,0.0006606443715908042
0x5b43453fce04b92e190f391a83136bfbecedefd1,2025-01-01 00:09:35.000000,2026-06-30 14:49:59.000000,21525938,25431196,3152398,717539,546,717031,34249311549.963745,3152398,10864.52648109907,1322.6578425,47727.97738765335,0.04161,10621105.562232,21950.610469,300,4,157,157,545.6113888888889,5773.622710622711,4.393347260567022,4.39301035997154,0.998881492589952,0.00009516564849996732,1.0,true,false,2025-01-01 00:00:00.000000,14.963674308242954,24.256932300750837,9.293350348129438,5.707110264748875,6.3037381091511975,0.1464185858532455,0.02493642108657909,0.33463410322074794,47472,80,1,0,0,0.0,3.172188283332244e-7,0.0,0.06615947007758463,0.0,true,mev_bot,true,3,0.6045776841262683,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0.7322596956348786,0.0032100555190595474,0.00310286177872654,0.00850230939243568,3152385,32283238.50501351,3.9134206077020632,2.334056683,0.0009425952535693432
0x93793bd1f3e35a0efd098c30e486a860a0ef7551,2025-01-01 00:00:11.000000,2026-06-30 14:22:11.000000,21525891,25431057,503249,503249,546,333504,9560813647.03982,503249,18998.17713903022,2160.743737027136,56473.92307896304,0.018917,4290073.213407,48561.021348,300,4,156,156,545.598611111111,921.7014652014652,1.0,2.9725969320994445,0.998904843336696,0.0005961263708422669,1.0,true,false,2025-01-01 00:00:00.000000,13.128842343502038,22.9809386700157,9.852150948738645,5.707110264748875,6.30371473253046,0.17837776886051226,0.01953240963188164,0.3787615257461717,0,1,0,2,0,0.0,0.0,0.0,0.0,0.0,true,mev_bot,true,3,0.4052922560623723,0x68d3a973e7272eb388022a5c6518d9b2a2e66fbf,0.48327964884182584,0.0038163309390862065,0.0033013877761483013,0.010531147857397949,503249,4892509.383149998,0.6215460213823862,0.618226318,0.0005117252112391917
0xd1fa51f2db23a9fa9d7bb8437b89fb2e70c60cb7,2025-01-01 00:01:47.000000,2025-10-02 16:15:11.000000,21525899,23491227,433519,212448,275,212448,5900913767.081998,433519,13611.661235336855,5521.912064838552,27277.615813759978,0.941023,1199997.248431,32869.184257,710,4,336,342,274.6759722222222,1576.4327272727273,2.0405887558367226,2.003988737461767,0.9975479465374759,0.0016377598213688442,1.0,true,false,2025-01-01 00:00:00.000000,12.979693210239995,22.498373051812145,9.518755611823913,6.566672429803241,5.61922616233562,0.16943312248352094,0.07113496903626551,0.34849224052367656,6528,29,0,0,352376,0.0,0.0,0.8128271194572787,0.030727519204699502,0.0,true,mev_bot,true,1,1.0,0xd4bc53434c5e12cb41381a556c3c47e1a86e80e3,1.0,0.00190365066164631,0.0006567281805478498,0.00402905483885152,433517,5358327.889649209,4.9545284535433325,2.9971296470000004,0.0009080505327057003
0xf5213a6a2f0890321712520b8048d9886c1a9900,2025-01-01 00:02:47.000000,2026-03-09 21:11:23.000000,21525904,24622514,404670,404670,422,293282,5697557896.092919,404670,14079.516386420835,7519.343013,21547.481238792825,156.53049790200328,269805.676737,29996.999,79,4,55,55,432.8809722222222,958.9336492890995,1.0,1.5304134493976342,0.9726169779666274,0.00019522079719277435,1.0,true,false,2025-01-01 00:00:00.000000,12.910829670278114,22.463303480874153,9.55254730421145,4.382026634673881,6.072770238932441,0.09197131870339048,0.0438098395440854,0.2227720423719237,0,1,0,0,191488,0.0,0.0,0.4731954432006326,0.0,0.0,true,mev_bot,true,1,1.0,0xe592427a0aece92de3edee1f18e0157c05861564,1.0,0.0024850367504115826,0.003089012512276279,0.004080322183896645,404670,1066595.3844778084,0.6661270864481461,0.9491395595000001,0.00018720220205383476
0x654fae4aa229d104cabead47e56703f58b174be4,2025-01-01 00:50:11.000000,2026-06-30 14:20:23.000000,21526141,25431048,29340,25769,546,18923,3317728973.174189,29340,113078.69710886807,438.097306,558522.948805775,1.8393300000000002e-15,23581004.782596,273824.745985,439,4,272,313,545.5626388888888,53.73626373626374,1.1385773603942722,4.939241104520769,0.9989705866284007,0.01496250852079073,1.0,true,false,2025-01-01 00:00:00.000000,10.286741134279072,21.92254634188658,11.635848133247768,6.0867747269123065,6.30364891932635,0.13813792616945256,0.17607678399917476,0.2385561451537658,1142,3,0,13002,0,0.0,0.0,0.0,0.04431681477744577,0.0,true,mev_bot,true,16,0.10303993004006805,0xa7c624014699a8b537cc4b326eb65f00852ee2a3,0.17518745739604635,0.010232174260305604,0.0005035301002964676,0.015388667488404506,29313,78182.74365284065,0.7306496947886287,0.0,0.000023565138769620607
0xc54b77b28ee4d18cd3d93991f08b79bc85c71097,2025-06-26 11:59:47.000000,2026-06-30 11:46:47.000000,22788475,25430288,20277,17690,368,9029,2587466117.8803325,19961,129626.07674366677,797.703517,289145.7710313435,3.3720200000000003e-15,3076614.360333,434598.742912,1016,4,848,851,368.9909722222222,55.10054347826087,1.14624081401922,2.230614227437617,0.9946188626974758,0.050106031464220546,0.9844158406075849,true,false,2025-06-01 00:00:00.000000,9.917291833512525,21.67394490129964,11.772416966569676,6.92461239604856,5.913478605941201,0.4101424400088704,0.07374718413036112,0.5496425655819707,841,5,0,18114,0,0.0,0.0,0.0,0.047540983606557376,0.0,true,mev_bot,true,4,0.4388113395074703,0x6dc71298ce1b61ba4c83d5cdf4b3b1e9aa558a7f,0.598510627804902,0.03190532557256639,0.007969268664591578,0.05364656058603179,20083,38609.14786799852,0.15796895058011795,0.0,0.00001492156785709048
0x24f7ef98522dd61d529464f67bb3ffe96ea8afc2,2025-01-01 01:19:23.000000,2025-08-13 14:23:11.000000,21526286,23132699,21918,21918,225,18088,2064965798.716784,21918,94213.24020060152,66351.016619,160084.12650196327,1824.520783,7017896.654906,155789.721476,27,4,14,14,224.54430555555555,97.41333333333333,1.0,1.6991680379648082,0.9975867022924173,0.0012318642211880647,1.0,true,false,2025-01-01 00:00:00.000000,9.995109119583352,21.448379501341766,11.453326618997208,3.332204510175204,5.418516616608431,0.4149702654395931,0.2631048037504779,0.6338480275281572,0,1,0,2,0,0.0,0.0,0.0,0.0,0.0,true,mev_bot,true,1,1.0,0x5dc62cea20b0e7c3607adcc61a885ff9369dbc60,1.0,0.0016173203465667696,0.0008109694696216696,0.0035749589196909515,21918,536511.017616257,9.728482464297453,25.679578613500002,0.0002598159339731713
0xc7899ff6a3ac2ff59261bd960a8c880df06e1041,2025-01-01 00:03:59.000000,2025-09-30 06:14:59.000000,21525910,23473955,169947,123403,273,123401,2053635973.1924725,169947,12083.978965162507,1170.4901723361306,87606.62877950358,0.000488,8886592.691877933,13142.16022,1409,4,986,800,272.2576388888889,622.5164835164835,1.3771707332884937,7.249816391775342,0.9990571575969971,0.008290820079201162,1.0,true,false,2025-01-01 00:00:00.000000,12.043247786887909,21.442877704991687,9.39971855256201,7.251344983372214,5.610415082343439,0.05786568524835637,0.030351185609280237,0.15695486985370202,1420,12,9,112,0,0.0,0.00005295768680824022,0.0,0.01150701360582806,0.0,true,mev_bot,true,5,0.5543101709765996,0xf3fe03cd60d1f138ebc106ce9575475100ebfc9a,0.686149211224676,0.005031798098258709,0.0006818316366373756,0.012680156086950278,169945,296762.6046564936,0.8279345142587201,0.053470445000000005,0.00014450594386266146
0x95480d3f27658e73b2785d30beb0c847d78294c7,2025-01-01 00:00:47.000000,2026-06-30 13:16:35.000000,21525894,25430733,206440,132089,542,132089,1888905450.460716,206440,9149.90045756983,1609.5073952396792,73487.22884093152,5.38408085357751e-6,17862636.228268094,14410.363183,1739,4,1072,986,545.5526388888889,380.88560885608854,1.5628856301433125,8.031478504242589,0.9916702645546747,0.0084237550862236,1.0,true,false,2025-01-01 00:00:00.000000,12.237769936273407,21.359263372048346,9.121607564090924,7.461640392208575,6.303630622994383,0.027170627557424772,0.022341486521153142,0.0698922339190268,1,15,18,14,0,0.0,0.00008719240457275721,0.0,7.570653120244684e-6,0.0,true,mev_bot,true,9,0.9798516260241197,0x111111125421ca6dc452d289314280a0f8842a65,0.9898517729122263,0.006342212864149417,0.0031979084398962576,0.01485224192586676,206438,564918.3507494213,1.1441890949775626,0.11,0.00029907179875606485
